kind,task,machine_selectable,process_time
5,2,"(14, 3, 6, 9, 10, 12, 7, 0, 5, 8, 13, 11, 4, 1, 2)","(18, 19, 14, 15, 3, 14, 13, 4, 2, 20, 9, 17, 14, 10, 6)"
5,3,"(13, 11, 0, 12, 9, 6, 2, 5, 3, 7, 8, 14, 10, 4, 1)","(8, 10, 8, 7, 10, 16, 18, 20, 5, 18, 5, 17, 14, 15, 8)"
5,4,"(2, 10)","(5, 15)"
5,5,"(7, 4, 12, 1, 13, 10, 14, 8, 11, 2, 5, 3, 6, 0)","(11, 15, 16, 1, 5, 7, 4, 20, 14, 20, 2, 11, 4, 2)"
5,6,"(11, 1, 3, 8, 9)","(8, 15, 16, 3, 11)"
6,0,"(3, 2, 1, 11, 0, 9, 4)","(17, 4, 12, 14, 16, 9, 8)"
6,1,"(7, 1, 9, 8, 2, 10, 13, 4, 6, 0, 3, 12, 11)","(16, 6, 8, 10, 9, 18, 20, 18, 11, 16, 4, 2, 14)"
6,2,"(7, 11, 8, 2, 6, 12, 10, 5, 4, 1, 13, 0, 3, 9, 14)","(3, 11, 17, 8, 8, 13, 10, 13, 3, 8, 18, 9, 19, 15, 17)"
6,3,"(1, 0, 3, 11, 5, 14, 2, 13, 10, 6)","(3, 20, 7, 5, 8, 13, 5, 14, 5, 6)"
6,4,"(9, 4, 8, 12, 2, 14, 11, 10, 6)","(3, 13, 14, 18, 16, 7, 9, 9, 15)"
6,5,"(10, 6, 14, 11, 2, 3, 9, 4, 5, 12, 7)","(4, 12, 11, 4, 8, 3, 5, 2, 7, 1, 3)"
6,6,"(4, 10, 0, 3, 11, 12)","(1, 11, 6, 16, 6, 8)"
6,7,"(3, 6, 10)","(6, 12, 5)"
6,8,"(3, 2, 10, 13, 5, 4, 6)","(15, 1, 11, 4, 1, 6, 17)"
7,0,"(3, 8, 9, 14, 7, 13)","(18, 19, 2, 12, 14, 13)"
7,1,"(11, 2, 9, 8, 6, 5, 13, 14, 7, 4, 1)","(19, 19, 14, 13, 1, 6, 7, 12, 7, 6, 17)"
7,2,"(4, 1, 8, 3, 6, 14, 5, 2, 9, 11)","(1, 6, 7, 15, 16, 14, 14, 4, 17, 14)"
7,3,"(14, 7, 11, 0, 12, 9, 10, 1, 6, 8, 13, 5, 3, 2, 4)","(18, 8, 20, 9, 5, 16, 3, 18, 18, 8, 17, 5, 12, 9, 3)"
7,4,"(11, 6, 9, 10, 7, 4, 1, 0, 8, 5, 2)","(7, 2, 13, 20, 2, 1, 4, 3, 4, 5, 20)"
7,5,"(9, 4, 6, 12, 3, 2, 13, 14, 7, 5, 11, 1, 8)","(17, 20, 18, 7, 1, 4, 7, 8, 15, 10, 18, 4, 20)"
7,6,"(1, 11, 8, 13)","(2, 11, 14, 11)"
7,7,"(11, 14, 7, 9, 8, 12, 0, 1, 13, 6, 4, 5, 10, 3, 2)","(7, 17, 4, 4, 10, 1, 11, 20, 8, 9, 4, 2, 10, 20, 11)"
8,0,"(12, 2, 13, 0, 5, 7, 11, 3, 4, 8, 6, 9, 10, 14)","(3, 8, 11, 13, 6, 16, 20, 7, 3, 7, 12, 8, 17, 3)"
8,1,"(12, 8, 13, 11, 2, 10)","(5, 9, 17, 12, 5, 13)"
8,2,"(10, 9, 13, 3, 11)","(10, 15, 13, 19, 19)"
8,3,"(3, 6, 14, 9, 7)","(6, 3, 4, 16, 12)"
8,4,"(6, 3, 10, 1, 12, 14, 8, 9, 0, 5, 11, 4)","(3, 5, 3, 5, 15, 9, 9, 20, 7, 3, 1, 10)"
8,5,"(7, 14, 9, 2, 8, 6, 1)","(19, 17, 17, 4, 1, 12, 19)"
8,6,"(6,)","(3,)"
8,7,"(13, 6, 3, 5, 4, 14, 1, 7, 12, 2)","(16, 10, 10, 11, 15, 19, 3, 10, 15, 15)"
8,8,"(7, 0, 10, 14, 9, 13, 8, 1, 6, 12, 11, 5, 2, 3, 4)","(18, 5, 10, 1, 10, 19, 3, 19, 5, 10, 6, 15, 7, 8, 7)"
8,9,"(10, 14, 5, 3, 0, 6, 12, 2, 4, 8, 9, 13)","(5, 5, 8, 19, 15, 10, 3, 10, 11, 10, 20, 6)"
9,0,"(7, 2)","(18, 17)"
9,1,"(8, 13, 11, 9, 2, 6, 3, 14, 4, 0, 10, 5, 1)","(12, 2, 8, 18, 11, 2, 14, 9, 5, 13, 3, 7, 9)"
9,2,"(11, 14, 8, 1, 10, 5, 0, 6, 2, 3, 4, 9, 12, 7)","(2, 9, 7, 1, 19, 16, 15, 11, 8, 2, 18, 20, 11, 18)"
9,3,"(13,)","(14,)"
9,4,"(5, 8, 6, 2, 14, 7, 4, 12, 3, 9, 13)","(19, 19, 13, 4, 16, 7, 2, 19, 9, 14, 14)"
9,5,"(3, 7, 5, 1, 9, 2, 0, 14, 4, 12, 10)","(7, 5, 18, 11, 10, 8, 6, 14, 1, 11, 16)"
9,6,"(0, 10)","(8, 16)"
9,7,"(2, 12, 9, 8, 0, 10, 13, 1, 5, 3, 14, 11, 6, 7, 4)","(12, 16, 13, 5, 13, 3, 1, 1, 3, 3, 17, 20, 5, 19, 20)"
9,8,"(10, 14, 9, 11, 6, 12, 13)","(6, 13, 8, 10, 6, 2, 10)"
9,9,"(11, 13, 6, 8, 3, 2, 4, 1, 14, 0)","(19, 14, 14, 20, 20, 4, 5, 17, 6, 5)"
