kind,task,machine_selectable,process_time
4,1,"(14, 1, 13, 0)","(8, 8, 10, 19)"
4,2,"(4,)","(12,)"
4,3,"(1, 0, 8, 9, 6, 2, 5, 7, 3, 11, 12)","(12, 10, 18, 19, 11, 1, 10, 15, 2, 13, 8)"
4,4,"(1, 4, 12, 11, 2, 6, 0, 13, 3)","(10, 3, 4, 4, 5, 17, 1, 8, 8)"
4,5,"(8, 14, 13, 12, 1, 9)","(6, 12, 20, 20, 2, 3)"
4,6,"(10, 9, 1, 5, 14, 11, 7, 13, 4, 6, 2, 0)","(8, 16, 15, 16, 11, 9, 5, 15, 20, 11, 2, 15)"
4,7,"(10, 1, 14)","(12, 11, 5)"
4,8,"(7, 0, 11, 3, 12, 4, 9, 6, 10, 2, 14, 13, 1, 5)","(4, 2, 11, 4, 12, 19, 15, 9, 11, 16, 20, 4, 10, 15)"
4,9,"(12,)","(11,)"
5,0,"(2, 8, 13, 14, 1, 12)","(19, 8, 11, 8, 1, 20)"
5,1,"(7, 13, 6, 9, 11, 5, 14, 3, 0, 4, 1, 10, 12, 8, 2)","(12, 16, 5, 3, 7, 7, 10, 13, 13, 8, 17, 1, 3, 7, 19)"
5,2,"(9, 7, 6, 4, 2, 8, 10, 5, 13, 14, 12, 1, 3, 0)","(1, 9, 12, 18, 14, 5, 2, 2, 18, 18, 20, 8, 9, 17)"
5,3,"(12, 6)","(10, 17)"
5,4,"(9, 12, 14, 11, 0, 7, 4, 5, 10, 13, 8, 3, 2, 6)","(12, 8, 14, 3, 9, 10, 13, 13, 8, 6, 9, 3, 18, 1)"
5,5,"(5, 1, 10)","(1, 17, 15)"
5,6,"(11, 5, 14, 3, 4, 6, 13, 8, 10, 0, 2, 9, 1, 12, 7)","(18, 13, 12, 20, 3, 7, 20, 11, 7, 3, 19, 5, 7, 10, 9)"
5,7,"(12, 5, 1)","(20, 12, 8)"
6,0,"(7, 4, 2, 8, 12, 0, 6, 14, 5, 13, 1, 11)","(3, 15, 1, 1, 19, 5, 11, 15, 5, 20, 19, 12)"
6,1,"(5, 6, 11, 12, 14, 9, 3, 1, 0)","(18, 13, 16, 12, 9, 6, 13, 15, 14)"
6,2,"(9, 7, 5, 12, 11, 0)","(10, 15, 2, 1, 15, 4)"
6,3,"(11, 6, 2, 1)","(13, 19, 3, 4)"
6,4,"(14, 12, 7)","(10, 17, 8)"
6,5,"(10, 4, 14)","(4, 2, 12)"
7,0,"(14,)","(9,)"
7,1,"(11,)","(3,)"
7,2,"(6, 0, 9, 3)","(1, 20, 4, 8)"
7,3,"(6, 12, 14, 0)","(20, 15, 16, 10)"
7,4,"(4, 0, 12, 8, 3, 2, 9, 5, 6, 11)","(5, 13, 17, 2, 3, 7, 17, 3, 8, 15)"
7,5,"(4, 1, 5, 12, 9, 2, 14, 7, 0, 3, 6, 8, 13)","(14, 2, 1, 6, 1, 3, 19, 10, 13, 7, 9, 12, 18)"
7,6,"(11,)","(1,)"
7,7,"(3, 14, 4, 12, 8, 7, 10, 1, 9, 2, 13, 0, 5, 6)","(16, 4, 15, 3, 14, 1, 18, 12, 1, 17, 17, 5, 3, 1)"
7,8,"(11, 13, 6, 10, 1, 14, 2, 3)","(16, 18, 17, 13, 2, 4, 4, 3)"
7,9,"(1, 11, 9, 6, 5, 4, 2, 10, 14, 12, 3, 0)","(1, 5, 12, 18, 15, 19, 9, 1, 4, 14, 4, 7)"
8,0,"(3, 7, 4, 1, 0, 8, 13, 12, 9, 5)","(4, 4, 17, 17, 3, 10, 9, 15, 3, 6)"
8,1,"(9, 11, 12, 8, 3, 4)","(9, 4, 4, 15, 2, 5)"
8,2,"(13, 14)","(17, 5)"
8,3,"(4, 9, 7, 11, 5, 14, 13)","(12, 17, 7, 16, 6, 20, 12)"
8,4,"(11, 9, 0, 2, 8, 14, 12)","(10, 11, 3, 5, 3, 16, 3)"
8,5,"(6, 1, 4, 7, 3, 0, 5, 8, 11, 13, 2, 10, 9, 14)","(1, 8, 18, 15, 20, 11, 7, 6, 15, 20, 1, 9, 4, 10)"
8,6,"(11, 6, 3, 0, 7, 4, 1, 8, 12, 14, 10, 13, 5, 2)","(7, 5, 13, 1, 11, 17, 10, 14, 18, 15, 16, 13, 8, 15)"
8,7,"(8, 4, 14, 7, 6)","(18, 3, 2, 10, 3)"
8,8,"(9, 4, 14, 7, 1, 5, 11, 12, 3, 0, 10, 13, 2, 6)","(5, 7, 1, 4, 2, 11, 1, 15, 4, 20, 11, 6, 15, 14)"
9,0,"(8,)","(14,)"
9,1,"(12, 14)","(18, 11)"
9,2,"(13, 5, 6, 2, 12)","(7, 15, 1, 8, 3)"
9,3,"(10, 9, 1, 7, 6)","(10, 11, 19, 12, 20)"
9,4,"(6, 1, 4, 13, 8, 7, 10, 0, 11, 5, 2, 9, 14, 3, 12)","(3, 1, 1, 9, 14, 17, 17, 15, 16, 2, 15, 19, 19, 16, 14)"
9,5,"(8, 12, 5, 6, 3, 10, 7, 14, 2, 13, 4, 11, 1)","(7, 18, 4, 18, 8, 4, 3, 9, 3, 13, 13, 20, 16)"
9,6,"(0, 10, 8, 4, 5, 12, 1, 14, 6)","(5, 6, 6, 13, 10, 16, 5, 20, 9)"
10,0,"(3, 11, 1, 10, 8, 2, 12, 5, 13, 0)","(15, 14, 6, 7, 13, 14, 17, 6, 10, 12)"
10,1,"(3,)","(19,)"
10,2,"(12, 4)","(11, 11)"
10,3,"(12, 2, 0, 4, 1, 6, 5, 9)","(1, 14, 12, 13, 7, 12, 7, 1)"
10,4,"(7, 14, 11, 13)","(13, 18, 11, 14)"
10,5,"(3, 9, 4, 2, 6, 0, 13, 12)","(2, 12, 12, 17, 3, 15, 8, 13)"
10,6,"(13, 14, 10, 9, 0)","(7, 18, 1, 10, 19)"
11,0,"(13, 12, 11, 9, 8, 10, 2, 5, 3, 6, 4)","(3, 18, 13, 12, 2, 19, 8, 14, 11, 10, 6)"
11,1,"(2, 1, 10, 4)","(12, 20, 19, 1)"
11,2,"(2, 12, 1, 3, 13, 6, 7)","(10, 1, 4, 18, 12, 9, 4)"
11,3,"(3, 11, 10, 14, 2, 12, 8, 0, 6, 13, 9, 4, 7)","(3, 18, 13, 13, 16, 15, 13, 10, 3, 13, 4, 5, 11)"
11,4,"(8, 7, 10, 6, 5, 2, 4, 13, 3)","(13, 6, 4, 17, 7, 1, 16, 9, 19)"
11,5,"(14, 13, 5, 6, 10, 2, 11, 7, 4, 12)","(17, 17, 6, 7, 1, 3, 19, 4, 8, 17)"
12,0,"(14, 11, 10, 6, 4, 12, 13, 9, 8, 0, 3, 7, 2, 1)","(17, 11, 17, 4, 18, 10, 14, 5, 8, 13, 4, 10, 14, 12)"
12,1,"(14, 11, 3, 7)","(12, 4, 14, 6)"
12,2,"(2, 7, 8, 9, 3, 14, 11, 4, 1, 10, 13)","(3, 7, 9, 10, 5, 13, 20, 2, 7, 12, 20)"
12,3,"(11, 0, 12, 9, 14, 4, 10, 1, 6, 5, 2, 3, 7, 13)","(7, 11, 12, 4, 11, 12, 13, 9, 7, 4, 15, 13, 7, 8)"
12,4,"(13,)","(12,)"
12,5,"(5, 0, 10, 6, 9)","(5, 14, 15, 5, 14)"
12,6,"(11, 14, 13, 6, 1, 2, 3)","(10, 14, 10, 16, 5, 10, 1)"
12,7,"(9, 1, 13)","(16, 18, 16)"
13,0,"(10, 7, 3, 2, 12, 8, 5, 0, 6, 14, 13, 11, 1)","(7, 17, 8, 17, 11, 14, 5, 2, 6, 19, 9, 7, 16)"
13,1,"(7, 3, 1)","(5, 6, 16)"
13,2,"(13, 0, 10)","(9, 2, 13)"
13,3,"(3, 13, 14, 4, 12, 10)","(1, 4, 17, 15, 11, 20)"
13,4,"(13,)","(17,)"
14,0,"(13, 2, 7, 1, 8, 9, 10, 14, 11, 3, 4, 0, 5, 12, 6)","(17, 8, 14, 4, 15, 2, 2, 11, 19, 12, 16, 17, 7, 3, 9)"
14,1,"(5, 8, 6, 4, 0, 13, 10, 14, 12, 9, 2, 11, 3, 1)","(7, 18, 11, 3, 14, 12, 9, 1, 16, 9, 9, 18, 8, 5)"
14,2,"(1, 11, 9, 3, 7, 6)","(3, 17, 14, 11, 20, 2)"
14,3,"(4, 8, 3, 5, 14)","(3, 16, 15, 19, 15)"
14,4,"(7, 3, 14, 13, 11, 8, 9, 4, 2, 0, 6)","(15, 10, 17, 12, 10, 5, 9, 7, 13, 16, 13)"
14,5,"(6, 12, 10, 7, 5, 4, 9, 11, 2, 1, 0)","(15, 8, 3, 1, 13, 13, 16, 2, 15, 5, 9)"
14,6,"(7, 1, 4, 6, 3, 9, 2, 5, 14)","(14, 4, 6, 4, 4, 10, 20, 12, 15)"
14,7,"(1, 12, 0, 5, 9, 6, 7, 11, 8, 10, 3, 4, 2, 13, 14)","(13, 5, 3, 10, 3, 17, 20, 6, 2, 8, 19, 15, 3, 4, 11)"
