kind,task,machine_selectable,process_time
4,8,"(7, 0, 6, 2, 5, 3, 8)","(13, 20, 5, 3, 7, 5, 5)"
5,0,"(2, 1, 5, 7, 0, 4, 9)","(14, 3, 3, 7, 12, 15, 9)"
5,1,"(0,)","(13,)"
5,2,"(6, 1, 9, 0, 7, 2, 4, 5, 8, 3)","(8, 16, 20, 6, 5, 12, 4, 5, 5, 20)"
5,3,"(4, 1, 8, 2, 6, 9, 0, 7, 5, 3)","(14, 20, 1, 12, 14, 6, 4, 18, 9, 18)"
5,4,"(7, 9, 0, 8, 2, 6, 4, 1)","(15, 17, 7, 7, 2, 18, 9, 19)"
5,5,"(8, 7, 6, 2, 3, 9, 1, 0)","(12, 11, 7, 19, 11, 20, 6, 6)"
5,6,"(6, 7, 5, 4, 2, 9, 3, 0)","(17, 18, 6, 17, 8, 19, 16, 14)"
5,7,"(1, 6, 9)","(2, 9, 3)"
5,8,"(2,)","(19,)"
5,9,"(0, 7)","(6, 20)"
6,0,"(0, 6, 3, 4)","(4, 7, 15, 6)"
6,1,"(3, 2, 7)","(8, 18, 7)"
6,2,"(8, 1, 0, 9, 7, 6)","(9, 17, 5, 18, 13, 11)"
6,3,"(4, 0, 3, 1, 5, 6, 8, 7)","(13, 6, 9, 3, 18, 3, 19, 12)"
6,4,"(8, 9, 1, 4, 6, 0, 3, 5)","(4, 9, 10, 3, 17, 13, 20, 4)"
6,5,"(7,)","(3,)"
6,6,"(2, 5, 6)","(4, 3, 9)"
6,7,"(3, 9, 2, 7, 1, 8, 4, 5)","(1, 10, 17, 17, 19, 11, 16, 15)"
7,0,"(5, 3, 7)","(3, 2, 18)"
7,1,"(5, 6, 2, 1, 9, 8, 7)","(12, 19, 10, 8, 6, 15, 3)"
7,2,"(0, 7, 5, 8, 6)","(4, 2, 16, 4, 19)"
7,3,"(3, 8, 6)","(17, 5, 7)"
7,4,"(7, 6, 0, 1, 4, 2, 5, 9)","(2, 18, 20, 13, 3, 15, 18, 12)"
7,5,"(3, 0, 8, 4, 9, 5, 1, 6)","(12, 7, 2, 14, 15, 14, 13, 5)"
7,6,"(4, 8)","(10, 7)"
7,7,"(1, 0, 4, 9, 2, 8, 7, 5, 3, 6)","(11, 10, 2, 7, 2, 8, 12, 4, 14, 5)"
7,8,"(6, 4, 2, 3, 0, 1)","(18, 6, 10, 18, 10, 17)"
8,0,"(5, 3, 6, 8, 0, 4, 7, 9, 2)","(10, 14, 8, 3, 8, 13, 20, 20, 6)"
8,1,"(8, 4, 0, 3, 1, 6, 2)","(2, 4, 2, 9, 5, 13, 12)"
8,2,"(5,)","(19,)"
8,3,"(5, 4)","(2, 3)"
8,4,"(2, 8)","(18, 1)"
8,5,"(8, 0, 5, 3, 6, 7, 2)","(3, 6, 6, 15, 17, 7, 12)"
8,6,"(4, 8, 1, 5, 2, 0, 3, 6, 7)","(19, 13, 15, 20, 15, 4, 7, 14, 6)"
8,7,"(5, 2, 4, 7, 0, 3)","(1, 14, 1, 19, 4, 3)"
9,0,"(8,)","(18,)"
9,1,"(0, 1, 9, 6, 8, 4, 5, 2)","(12, 1, 12, 2, 13, 15, 11, 8)"
9,2,"(2, 4, 7, 1, 8, 5, 0, 6, 3, 9)","(15, 13, 19, 9, 12, 14, 14, 9, 7, 20)"
9,3,"(4, 3, 6, 2, 1, 7, 5, 9, 0)","(18, 12, 12, 2, 9, 17, 19, 2, 10)"
9,4,"(7, 5, 4, 3, 6, 1)","(10, 19, 6, 11, 14, 1)"
10,0,"(8, 3)","(20, 10)"
10,1,"(9, 0, 1, 4, 3, 6, 8, 5)","(12, 8, 8, 16, 7, 13, 4, 15)"
10,2,"(2,)","(17,)"
10,3,"(0, 8, 6, 2, 7, 5, 4)","(18, 8, 12, 5, 10, 4, 11)"
10,4,"(0, 2, 1)","(4, 10, 15)"
10,5,"(1, 6, 2, 8, 3)","(2, 10, 1, 16, 11)"
10,6,"(7, 8, 1, 6, 2)","(19, 17, 5, 12, 9)"
10,7,"(7, 5, 0, 1, 8, 3, 2, 9)","(20, 17, 1, 11, 17, 16, 6, 16)"
10,8,"(3, 5, 0, 6, 4, 2, 7, 8)","(12, 10, 14, 5, 8, 20, 5, 13)"
11,0,"(3, 5, 9, 8, 2, 1, 6)","(15, 5, 18, 8, 15, 3, 13)"
11,1,"(4, 6, 7, 3, 8, 1)","(13, 20, 7, 17, 17, 5)"
11,2,"(5, 2, 9)","(5, 12, 13)"
11,3,"(9, 6, 8, 5, 0, 7, 2, 4)","(19, 11, 18, 3, 5, 15, 10, 1)"
11,4,"(3, 5)","(14, 2)"
12,0,"(0, 9, 4, 5)","(1, 4, 4, 11)"
12,1,"(8, 1, 4, 3, 6, 0, 5)","(4, 10, 16, 8, 2, 6, 6)"
12,2,"(9, 7, 8, 0, 2, 6)","(5, 1, 12, 16, 12, 12)"
12,3,"(1, 8, 0, 3, 5, 2, 6, 9)","(11, 12, 19, 4, 19, 17, 14, 7)"
12,4,"(0, 6, 2, 9, 5, 1, 3)","(1, 7, 12, 1, 9, 9, 10)"
13,0,"(7, 5, 2, 1, 9, 4, 0, 3)","(17, 5, 20, 13, 2, 16, 9, 8)"
13,1,"(0,)","(9,)"
13,2,"(3, 6, 9, 1, 4, 8)","(3, 8, 20, 6, 12, 8)"
13,3,"(6, 2)","(13, 11)"
13,4,"(4, 0, 9, 5, 1, 2, 7)","(14, 18, 6, 4, 15, 16, 12)"
14,0,"(1, 7, 5, 0)","(18, 1, 10, 1)"
14,1,"(8, 6, 1, 7)","(10, 12, 17, 8)"
14,2,"(4,)","(8,)"
14,3,"(0, 3, 4, 2, 1, 7, 9)","(19, 3, 15, 4, 12, 7, 9)"
14,4,"(9, 6, 2, 5, 7, 4)","(12, 16, 19, 9, 16, 18)"
14,5,"(5, 0, 2, 8)","(4, 13, 18, 19)"
14,6,"(0, 8)","(14, 11)"
14,7,"(2, 1, 5)","(20, 13, 10)"
14,8,"(4, 7, 0, 6)","(3, 1, 16, 11)"
14,9,"(8, 7)","(20, 9)"
