kind,task,machine_selectable,process_time
4,6,"(16, 1, 13, 5)","(13, 5, 7, 1)"
4,7,"(9, 15, 17, 19, 8, 3, 16, 5, 0, 18, 1)","(2, 7, 17, 16, 13, 13, 13, 7, 12, 16, 5)"
5,0,"(7,)","(4,)"
5,1,"(13, 16, 14, 5, 10, 7, 8, 12, 18, 17, 11, 9)","(3, 13, 1, 6, 17, 5, 11, 19, 14, 15, 2, 11)"
5,2,"(4, 2, 3, 6, 15, 9, 13, 0, 17)","(14, 10, 19, 7, 14, 15, 5, 9, 7)"
5,3,"(14,)","(7,)"
5,4,"(14, 12, 1, 17, 10, 9)","(18, 18, 11, 19, 15, 10)"
6,0,"(2, 9, 18, 3, 11, 15, 5, 8, 16, 4, 14, 10, 12, 7, 19, 13, 1)","(2, 8, 20, 1, 19, 16, 4, 6, 2, 1, 17, 18, 2, 19, 5, 20, 19)"
6,1,"(8, 5, 14, 11, 18, 17, 4, 7, 19, 13, 1, 6, 15, 2)","(8, 3, 6, 10, 11, 5, 5, 10, 10, 1, 4, 1, 19, 14)"
6,2,"(0, 13, 16, 1, 9, 3, 4, 6, 2, 12)","(6, 15, 11, 8, 13, 9, 2, 10, 13, 16)"
6,3,"(7, 2, 6, 17, 13, 8, 15, 14, 4, 16, 12, 9)","(7, 1, 10, 16, 6, 7, 4, 12, 11, 20, 1, 9)"
6,4,"(9,)","(2,)"
6,5,"(13, 7, 18, 3, 2, 9, 15, 17, 19, 14, 16, 4, 6, 11, 1)","(15, 15, 1, 13, 4, 5, 2, 20, 8, 8, 7, 6, 5, 2, 7)"
6,6,"(5, 10, 14, 2, 13, 17)","(9, 8, 18, 1, 15, 13)"
6,7,"(9, 0, 16, 18, 12, 2, 13, 1, 17, 15, 10, 6, 11, 5, 4, 3, 7)","(10, 6, 6, 9, 1, 18, 6, 6, 7, 15, 15, 16, 6, 9, 5, 5, 4)"
6,8,"(10, 3, 19, 7, 9, 18, 14, 0, 8, 4, 13, 16, 1, 11, 15, 5, 12)","(6, 16, 11, 4, 4, 12, 9, 19, 10, 12, 18, 13, 11, 17, 5, 12, 7)"
7,0,"(14, 6, 2, 7, 17, 12, 8)","(10, 5, 19, 12, 11, 19, 1)"
7,1,"(16, 18, 17)","(10, 4, 1)"
7,2,"(17, 4, 5, 12, 18, 16, 9, 7, 11, 13, 19, 6, 2, 14, 0)","(2, 5, 8, 4, 3, 17, 1, 13, 18, 17, 1, 8, 16, 8, 14)"
7,3,"(18, 7, 13, 2, 9, 8, 12, 16, 15, 6)","(12, 9, 9, 2, 10, 20, 9, 8, 18, 19)"
7,4,"(3, 5, 7, 14, 6, 18)","(14, 8, 20, 20, 8, 4)"
7,5,"(6, 2, 19, 8, 17, 12, 11, 7, 10, 5, 16, 1, 15)","(19, 1, 14, 7, 19, 12, 7, 7, 5, 4, 18, 13, 15)"
7,6,"(12, 15, 7, 11)","(13, 9, 13, 5)"
8,0,"(13, 3, 2, 12, 7)","(18, 8, 20, 2, 11)"
8,1,"(12, 4, 8, 18, 19, 16, 9, 15, 13, 6, 7, 1, 17, 3, 10, 2, 0, 11, 5)","(19, 5, 5, 8, 10, 11, 5, 2, 9, 10, 1, 1, 4, 10, 9, 15, 2, 13, 15)"
8,2,"(6, 5, 14, 4, 10, 12, 18, 16, 0, 11, 2, 15, 9, 8, 13, 7, 3, 17, 19)","(17, 8, 5, 5, 12, 2, 6, 11, 2, 14, 13, 9, 6, 1, 4, 15, 11, 6, 13)"
8,3,"(11, 17, 8, 14, 18, 12, 3, 9)","(19, 16, 15, 14, 3, 16, 16, 19)"
8,4,"(19, 17, 0, 13, 15, 5, 16, 9)","(3, 15, 5, 4, 7, 7, 8, 20)"
8,5,"(10, 5, 4, 18, 15, 17, 11, 1, 19, 3, 7, 0)","(7, 18, 17, 8, 11, 13, 1, 1, 17, 2, 16, 17)"
8,6,"(9, 16, 5, 19, 15, 12, 7, 6, 13, 0, 2, 8, 14, 3)","(8, 19, 4, 4, 17, 15, 18, 20, 11, 15, 15, 13, 6, 4)"
8,7,"(1,)","(7,)"
8,8,"(16, 5, 7, 19, 14, 15, 12, 17, 13, 4, 2, 8, 9)","(18, 12, 5, 5, 2, 3, 17, 9, 4, 16, 13, 15, 12)"
8,9,"(12, 1, 5, 4, 17, 0, 6)","(14, 14, 5, 20, 11, 8, 5)"
9,0,"(12, 11, 14, 9, 5, 1, 15, 16)","(8, 20, 19, 8, 16, 11, 6, 2)"
9,1,"(9, 5, 2, 15, 11, 16, 0, 8, 6, 3, 12, 10)","(13, 6, 2, 11, 19, 4, 15, 9, 1, 7, 19, 6)"
9,2,"(2, 4, 13, 9)","(5, 3, 1, 3)"
9,3,"(19, 10, 2, 17, 1, 11)","(18, 2, 4, 2, 6, 15)"
9,4,"(5, 17, 19, 7, 12, 15)","(19, 20, 3, 8, 5, 20)"
9,5,"(18, 10, 4, 14, 9, 2, 7, 16)","(14, 3, 11, 11, 12, 13, 14, 13)"
9,6,"(18, 5, 15, 8)","(7, 16, 7, 17)"
