kind,task,machine_selectable,process_time
2,8,"(3, 7, 5, 9, 11, 0, 4, 10)","(2, 20, 16, 9, 5, 19, 4, 2)"
3,0,"(8, 9, 0, 14, 10, 1, 7, 13, 5, 6, 12)","(18, 1, 12, 3, 13, 3, 20, 19, 15, 20, 13)"
3,1,"(2, 3, 14, 0, 6, 7, 5, 13, 9, 1, 11, 8, 12)","(17, 17, 20, 17, 2, 10, 18, 8, 8, 16, 10, 2, 13)"
3,2,"(11, 12, 0, 9, 8, 2, 4, 5, 6, 7, 1, 14, 13)","(5, 20, 18, 1, 6, 4, 18, 1, 19, 19, 15, 10, 14)"
3,3,"(13, 11, 1, 7, 3, 0, 10, 14)","(18, 3, 16, 11, 15, 6, 13, 4)"
3,4,"(10, 5, 9, 7, 4, 13, 14, 0, 6)","(18, 16, 8, 16, 10, 12, 3, 15, 3)"
3,5,"(1, 14, 8, 7, 12, 0, 6, 3, 5, 11)","(5, 13, 5, 7, 10, 8, 20, 20, 19, 2)"
3,6,"(12, 7, 3, 13, 4, 1, 14, 10, 8, 5)","(7, 6, 20, 6, 16, 2, 5, 19, 16, 15)"
3,7,"(12, 3, 13, 2, 7, 10, 1, 5, 4)","(7, 9, 1, 18, 3, 13, 20, 19, 4)"
4,0,"(8, 7, 0, 13, 12, 14, 2, 4, 3, 1, 11, 9, 10, 6, 5)","(4, 13, 9, 16, 5, 15, 12, 8, 3, 8, 7, 20, 15, 8, 3)"
4,1,"(3, 13, 8, 1, 4, 14, 5, 7, 10, 12, 9, 0, 2)","(4, 4, 4, 10, 9, 17, 10, 7, 10, 8, 10, 14, 1)"
4,2,"(1, 5, 14, 7, 12, 8, 13, 2, 4, 9, 0, 11)","(7, 8, 10, 1, 16, 9, 5, 9, 14, 14, 7, 20)"
4,3,"(13, 3, 9, 7, 5, 6, 10, 4, 0)","(17, 10, 11, 11, 17, 10, 3, 18, 6)"
4,4,"(2, 0, 11, 13, 3, 4, 1, 9, 8, 14)","(1, 1, 15, 13, 18, 20, 3, 11, 8, 8)"
4,5,"(3, 10, 0, 9, 11, 2, 4, 1, 8, 14, 13)","(7, 7, 13, 19, 20, 12, 6, 8, 19, 4, 15)"
4,6,"(2, 4, 12, 13, 7, 10, 1, 0, 3)","(20, 4, 16, 16, 8, 18, 5, 20, 6)"
4,7,"(0, 12, 3, 8, 9, 1, 10, 6, 2, 13, 7, 5, 4, 11, 14)","(19, 5, 1, 6, 5, 18, 19, 6, 6, 8, 11, 4, 18, 5, 18)"
5,0,"(10, 3, 7, 1, 12, 11, 8, 2, 5, 6)","(16, 6, 7, 3, 14, 15, 15, 10, 18, 14)"
5,1,"(13, 1, 10, 2, 6, 7, 0, 8, 5, 4, 12, 3, 11, 14)","(2, 2, 11, 16, 12, 8, 19, 20, 1, 9, 12, 2, 17, 12)"
5,2,"(13, 3, 0, 4, 12, 7, 2, 14, 1, 10, 8, 11, 9)","(16, 16, 5, 12, 8, 11, 19, 10, 2, 8, 16, 2, 16)"
5,3,"(7, 2, 12, 10, 1, 3, 0)","(12, 5, 16, 16, 6, 3, 15)"
5,4,"(6, 13, 2, 9, 10, 14, 1, 5)","(7, 11, 11, 14, 9, 4, 19, 20)"
5,5,"(4, 14, 11, 2, 12, 10, 6)","(18, 2, 9, 12, 3, 12, 17)"
5,6,"(11, 4, 8, 6, 12, 7, 2, 10, 0, 3, 14, 1, 13, 9, 5)","(15, 2, 9, 14, 18, 18, 16, 2, 13, 17, 9, 9, 14, 14, 16)"
6,0,"(7, 13, 0, 10, 9, 4, 6, 11, 14, 8, 12, 2, 5)","(18, 18, 6, 8, 1, 11, 9, 14, 10, 20, 20, 10, 17)"
6,1,"(12, 9, 3, 4, 10, 8, 14)","(14, 13, 9, 16, 5, 15, 5)"
6,2,"(11, 1, 5, 4, 10, 8, 7, 2, 9, 6, 14)","(6, 10, 15, 1, 10, 4, 10, 3, 9, 8, 1)"
6,3,"(14, 10, 13, 8, 7, 6, 11, 4, 5, 12, 9, 1)","(4, 12, 18, 19, 3, 4, 20, 11, 9, 19, 2, 1)"
6,4,"(5, 14, 6, 13)","(2, 5, 13, 4)"
6,5,"(4, 3, 0, 2, 11, 14)","(5, 6, 4, 11, 10, 6)"
6,6,"(6, 2, 7, 4, 8)","(10, 8, 3, 17, 2)"
6,7,"(14, 9, 0, 7, 8, 4, 5)","(20, 17, 5, 2, 18, 13, 7)"
7,0,"(4, 2)","(20, 16)"
7,1,"(8, 1, 13, 10, 4, 14)","(14, 8, 9, 16, 18, 11)"
7,2,"(9, 5, 10, 12, 3, 7, 8, 1, 2, 0)","(11, 9, 13, 17, 14, 1, 2, 14, 1, 15)"
7,3,"(1, 2, 10, 9, 14, 6, 0, 11, 3)","(2, 13, 12, 8, 12, 2, 20, 20, 5)"
7,4,"(8, 3, 4, 5)","(7, 16, 20, 1)"
7,5,"(13, 1)","(8, 1)"
7,6,"(6, 10, 8, 14, 13, 2, 1, 3, 4, 11)","(16, 20, 7, 13, 3, 3, 6, 6, 14, 20)"
8,0,"(12, 6, 0, 1, 2, 3, 7, 8, 11, 14, 5)","(15, 8, 2, 5, 14, 16, 20, 15, 9, 7, 1)"
8,1,"(4, 7, 14, 13, 3, 11)","(20, 12, 19, 8, 18, 19)"
8,2,"(10, 11, 14, 8, 6)","(12, 18, 9, 1, 7)"
8,3,"(2, 10, 3, 5, 9, 13, 7, 0, 11, 1, 14, 4)","(11, 2, 18, 9, 15, 19, 14, 5, 1, 6, 20, 1)"
8,4,"(10, 4, 2, 3, 12, 11)","(15, 18, 2, 14, 12, 14)"
8,5,"(6, 8, 3, 0, 2, 4, 13, 12, 5, 7, 11, 1)","(7, 11, 2, 8, 15, 6, 8, 14, 9, 15, 6, 4)"
8,6,"(8, 12, 4, 7, 5, 3, 14, 11, 13, 0, 6, 9, 2, 10)","(7, 8, 16, 6, 16, 18, 13, 9, 6, 9, 1, 6, 13, 19)"
8,7,"(0, 12, 7, 1, 4, 10, 13)","(18, 16, 10, 2, 18, 7, 16)"
9,0,"(10, 7, 8, 6)","(17, 2, 4, 20)"
9,1,"(8, 9, 14, 10, 6, 0)","(1, 9, 11, 20, 13, 19)"
9,2,"(3, 12, 9, 8, 7, 2)","(18, 12, 7, 5, 13, 11)"
9,3,"(5, 7, 11)","(10, 1, 4)"
9,4,"(0, 8, 14, 2)","(7, 6, 7, 17)"
9,5,"(6, 7, 5, 13, 14, 10, 4, 8, 2, 1, 12, 11)","(14, 1, 10, 3, 3, 10, 6, 16, 13, 4, 9, 20)"
9,6,"(14, 11, 8, 4, 7)","(9, 13, 20, 1, 3)"
9,7,"(11, 2, 10, 13, 12, 9)","(19, 6, 6, 15, 8, 16)"
9,8,"(14, 10, 11)","(6, 12, 3)"
