kind,task,machine_selectable,process_time
5,1,"(5,)","(16,)"
5,2,"(9, 2, 1, 7, 8, 4, 3, 0)","(5, 6, 7, 10, 1, 18, 2, 5)"
5,3,"(4, 6, 0, 7, 2, 5, 1, 3, 9, 8)","(8, 4, 15, 17, 19, 15, 1, 16, 9, 17)"
5,4,"(2, 5, 3, 1)","(14, 16, 10, 8)"
6,0,"(2, 3, 6, 8, 0, 7, 4, 1, 9, 5)","(18, 8, 12, 17, 2, 2, 19, 8, 18, 11)"
6,1,"(9,)","(15,)"
6,2,"(4, 5, 7, 1, 0, 6, 3)","(6, 12, 6, 10, 9, 17, 8)"
6,3,"(9, 5, 7, 4, 1, 0, 6, 2, 3)","(12, 12, 7, 2, 3, 3, 20, 12, 15)"
6,4,"(4, 8, 0, 6)","(7, 13, 1, 17)"
6,5,"(9, 2, 4, 5, 0, 6, 3, 7, 8)","(7, 4, 4, 14, 8, 20, 1, 1, 12)"
6,6,"(2, 7)","(19, 4)"
6,7,"(6, 4, 5, 8, 1, 3)","(6, 17, 4, 2, 8, 8)"
6,8,"(7, 1, 8)","(20, 19, 17)"
7,0,"(8, 0, 9, 3, 6, 7, 4)","(13, 18, 13, 11, 10, 11, 12)"
7,1,"(8, 3, 9, 0, 1, 7, 4, 5, 6)","(20, 7, 20, 20, 5, 3, 12, 9, 6)"
7,2,"(7, 5, 0)","(8, 18, 17)"
7,3,"(2,)","(15,)"
7,4,"(6, 7, 2, 9, 3, 0, 1, 5, 4, 8)","(9, 15, 7, 15, 15, 6, 15, 14, 18, 7)"
7,5,"(2, 5, 9, 6)","(15, 11, 17, 9)"
7,6,"(9, 7, 8, 1, 6)","(1, 20, 15, 12, 17)"
7,7,"(8, 7, 3)","(13, 12, 18)"
8,0,"(9, 2, 7, 3, 6, 5, 8, 1, 4)","(20, 8, 6, 3, 7, 14, 18, 9, 3)"
8,1,"(7, 2, 9, 0, 4)","(12, 20, 17, 6, 1)"
8,2,"(5, 1, 6, 4, 2, 7, 8, 3, 9, 0)","(16, 17, 20, 10, 4, 4, 17, 20, 18, 17)"
8,3,"(4, 3, 0, 1, 6)","(5, 3, 20, 11, 15)"
8,4,"(6, 9)","(7, 1)"
8,5,"(9, 8, 4, 0, 7)","(19, 11, 9, 20, 13)"
8,6,"(9, 1, 3, 2, 4, 6, 7)","(12, 17, 12, 14, 5, 15, 3)"
9,0,"(4, 7, 3, 1, 0, 2, 8, 5)","(16, 10, 3, 5, 19, 12, 11, 2)"
9,1,"(2, 1, 0, 8)","(11, 9, 1, 12)"
9,2,"(4, 2)","(15, 3)"
9,3,"(2, 3, 8, 9, 7, 4)","(13, 17, 10, 10, 13, 18)"
9,4,"(7, 4, 0, 5)","(20, 8, 17, 10)"
9,5,"(0, 1, 7, 8, 3, 4, 5)","(5, 9, 2, 14, 5, 17, 14)"
9,6,"(5, 0, 3, 8, 7, 9, 1, 2, 4)","(1, 13, 8, 17, 20, 12, 15, 14, 19)"
9,7,"(4, 2, 7, 3, 6, 8)","(15, 12, 2, 1, 6, 6)"
9,8,"(0, 6, 2, 4, 8, 3, 5)","(2, 12, 8, 3, 7, 3, 17)"
9,9,"(3, 7)","(3, 6)"
