kind,task,machine_selectable,process_time
5,1,"(13, 7, 0, 19, 16, 14, 1, 5, 2, 6, 12, 11, 17, 15, 10, 8, 18, 4)","(19, 10, 13, 13, 6, 4, 12, 3, 11, 10, 7, 2, 19, 13, 18, 4, 3, 4)"
5,2,"(5, 1, 9, 16, 12, 0, 11, 10, 7, 14, 19, 2, 13, 3, 4, 17, 18, 15, 6)","(3, 14, 10, 16, 10, 14, 12, 12, 20, 10, 4, 11, 10, 16, 5, 18, 17, 17, 9)"
5,3,"(12, 0)","(15, 4)"
5,4,"(17, 2, 4, 16, 8, 15, 18, 19, 0, 3, 14, 9)","(6, 7, 6, 16, 19, 16, 15, 4, 8, 16, 13, 10)"
5,5,"(9, 2, 16, 8, 13)","(8, 13, 6, 1, 14)"
5,6,"(10, 17, 0, 15, 19, 7, 3, 13, 16)","(6, 2, 5, 20, 2, 2, 4, 13, 14)"
6,0,"(3, 0, 7, 15, 14, 4, 18, 2, 1, 11, 19, 9, 16, 5, 8, 17)","(14, 14, 1, 11, 12, 4, 5, 9, 7, 3, 9, 10, 10, 8, 15, 19)"
6,1,"(1, 10, 15, 3, 6, 14, 11, 8, 5)","(9, 16, 16, 15, 16, 10, 13, 17, 18)"
6,2,"(5, 0, 13, 11, 12, 6, 2, 9, 14, 3, 10)","(2, 13, 11, 2, 3, 19, 4, 7, 4, 7, 15)"
6,3,"(14, 12)","(9, 15)"
6,4,"(7, 3, 15, 12, 19, 8, 6, 13)","(16, 13, 7, 12, 18, 14, 19, 9)"
6,5,"(2, 14, 6, 10, 12, 11, 18, 13, 5, 3, 16, 9, 7, 17, 8, 0, 19)","(18, 14, 6, 13, 7, 18, 14, 4, 17, 16, 11, 10, 15, 4, 3, 14, 2)"
6,6,"(8, 19, 16, 3, 9, 15, 5, 10, 13, 14, 18, 1, 17)","(1, 2, 13, 12, 19, 3, 17, 10, 17, 6, 2, 12, 7)"
6,7,"(0, 13, 2, 16, 9, 18, 6, 14, 17, 4, 1, 3, 15, 19, 10, 11, 8)","(7, 8, 2, 7, 15, 4, 11, 6, 8, 3, 16, 3, 5, 10, 4, 13, 18)"
6,8,"(19, 6, 10, 8, 11, 13, 5, 1, 12, 7, 15, 17, 2, 14, 16, 0, 4, 9, 3)","(13, 19, 5, 5, 20, 2, 6, 16, 15, 15, 7, 20, 14, 11, 5, 13, 19, 6, 14)"
6,9,"(6, 19, 3, 9, 12, 5, 11, 2, 16, 7, 17, 13, 15, 0, 18, 8, 10, 14)","(3, 14, 13, 19, 14, 16, 17, 5, 19, 6, 7, 18, 9, 14, 8, 17, 9, 7)"
7,0,"(3, 14, 5, 16, 1, 18, 13, 11, 2, 19, 0, 9, 6, 7, 8, 12)","(8, 12, 13, 7, 2, 4, 4, 9, 18, 7, 20, 8, 20, 3, 9, 17)"
7,1,"(11, 8, 9, 10, 4, 12, 14, 1, 5, 13, 6, 17, 15)","(11, 18, 3, 7, 10, 12, 12, 7, 3, 11, 2, 10, 18)"
7,2,"(14, 0, 1, 8, 18, 9, 3, 10, 2, 7, 4, 13, 15, 12, 19, 5, 11)","(8, 16, 4, 10, 4, 14, 9, 3, 16, 1, 12, 14, 1, 11, 8, 19, 8)"
7,3,"(1, 3, 16, 4, 5, 10, 0, 17, 2, 11, 18, 6, 12)","(7, 4, 4, 6, 15, 8, 11, 6, 9, 17, 5, 14, 12)"
7,4,"(14, 19, 7, 12, 8, 9, 16, 11, 13, 18, 4, 1, 17, 15, 5, 0, 6, 10)","(19, 2, 2, 16, 12, 2, 13, 19, 10, 17, 17, 1, 12, 5, 9, 5, 16, 14)"
7,5,"(13, 15, 17, 3, 16, 6, 4, 8, 9, 18, 11, 2, 1, 10, 0, 12, 14)","(6, 1, 19, 12, 1, 5, 18, 7, 4, 4, 20, 7, 20, 4, 20, 5, 17)"
7,6,"(6, 10, 19, 5, 2, 13, 0, 15, 14, 12, 3, 11)","(10, 11, 17, 18, 16, 18, 14, 10, 1, 1, 16, 19)"
7,7,"(14,)","(4,)"
7,8,"(12,)","(5,)"
8,0,"(7, 12, 1, 4, 18, 11, 10, 6, 19)","(1, 11, 9, 7, 6, 10, 2, 14, 10)"
8,1,"(17, 15, 9, 0, 18, 19, 12, 11, 5, 14, 3, 16, 13, 2, 6, 8, 4, 10)","(16, 18, 4, 16, 16, 15, 6, 10, 5, 14, 10, 10, 4, 15, 1, 17, 18, 1)"
8,2,"(2,)","(10,)"
8,3,"(4, 10, 13, 1, 15)","(3, 6, 5, 11, 13)"
8,4,"(8, 7, 9, 15, 6, 13, 3, 1, 11, 2, 12, 10, 19, 18, 14, 4)","(1, 12, 5, 13, 9, 1, 12, 9, 2, 19, 16, 14, 6, 15, 4, 2)"
8,5,"(3, 10, 0, 18, 16, 7, 4, 19, 9, 2, 15, 13, 1, 5, 8, 6, 17, 11)","(8, 7, 12, 6, 2, 6, 12, 6, 1, 13, 5, 18, 7, 7, 18, 16, 20, 8)"
9,0,"(0, 2, 3, 17, 4, 10, 12, 13)","(4, 12, 7, 13, 7, 18, 8, 1)"
9,1,"(15, 12, 10, 8, 9, 18, 1, 0, 6, 17, 5, 14, 7, 16, 19, 13)","(3, 9, 10, 12, 14, 8, 19, 10, 19, 7, 9, 8, 13, 3, 1, 10)"
9,2,"(2,)","(1,)"
9,3,"(5, 16, 18, 11, 4, 0, 14, 9, 17, 12, 7, 10)","(3, 17, 11, 10, 11, 8, 14, 4, 8, 5, 4, 2)"
9,4,"(19, 18, 3, 2, 4, 8, 9)","(4, 16, 6, 12, 20, 19, 10)"
9,5,"(11, 1, 16, 10, 5, 0, 13, 4, 19, 15, 7, 2, 8, 12, 14, 18, 3, 9, 17)","(13, 20, 16, 11, 20, 18, 18, 20, 3, 15, 8, 14, 14, 6, 19, 11, 11, 11, 18)"
9,6,"(10, 17, 16, 13, 7, 6, 1, 2, 12, 18, 9, 5, 3)","(9, 9, 13, 13, 9, 10, 19, 19, 6, 11, 15, 17, 8)"
10,0,"(13, 4, 11, 14, 19, 8, 2, 16, 6, 0, 7, 5)","(15, 1, 7, 19, 1, 4, 6, 6, 20, 14, 14, 9)"
10,1,"(15, 11, 12, 16, 0)","(1, 7, 18, 6, 16)"
10,2,"(11, 17, 12, 14, 2, 6, 3, 18, 7, 19, 1, 4, 9)","(8, 20, 19, 6, 12, 19, 4, 3, 6, 20, 15, 16, 16)"
10,3,"(3, 11, 10, 12, 19, 15, 16)","(13, 9, 11, 16, 1, 10, 2)"
10,4,"(18, 10, 17, 15, 6)","(12, 17, 13, 20, 20)"
10,5,"(10,)","(13,)"
10,6,"(15, 8, 17, 4, 3, 19, 14, 1, 0, 11, 6, 18, 13, 16, 5, 2, 12, 10)","(16, 17, 16, 11, 11, 18, 6, 19, 18, 5, 5, 14, 17, 8, 10, 4, 20, 4)"
10,7,"(3, 19, 13, 14, 11, 16, 15, 12, 7, 4, 6, 10, 9, 2, 5, 8, 17)","(19, 14, 10, 13, 10, 1, 1, 13, 19, 3, 8, 19, 1, 18, 19, 4, 5)"
10,8,"(18, 6, 4, 1, 17, 3, 7, 15, 13, 2, 8, 5, 9, 11, 10, 0, 14, 12)","(15, 13, 17, 20, 12, 3, 19, 2, 1, 8, 20, 15, 7, 5, 10, 13, 4, 8)"
11,0,"(12, 0, 1, 3, 14, 17, 7, 19, 8)","(6, 18, 7, 13, 16, 2, 15, 20, 18)"
11,1,"(19, 9, 0, 4, 5, 13, 2, 16, 15, 18, 10, 6, 8, 14, 7, 3, 12, 17, 1)","(6, 17, 17, 7, 6, 11, 7, 4, 5, 20, 9, 11, 1, 7, 6, 19, 2, 18, 1)"
11,2,"(11, 16, 17, 15, 2, 18, 1, 10, 4)","(15, 20, 6, 17, 16, 5, 17, 4, 3)"
11,3,"(19, 10)","(7, 7)"
11,4,"(3, 11, 7, 6, 0, 18, 14, 17, 15, 2, 5, 4, 13)","(7, 1, 11, 9, 9, 9, 9, 12, 14, 3, 6, 5, 19)"
11,5,"(11, 6, 13, 9)","(10, 4, 4, 1)"
11,6,"(13,)","(10,)"
11,7,"(3, 1, 6, 10, 17, 14, 5, 13, 18, 9)","(19, 1, 20, 12, 1, 7, 9, 14, 3, 19)"
12,0,"(3, 0, 19, 12)","(19, 2, 11, 13)"
12,1,"(18, 15, 4, 16, 5, 3, 8, 13, 1, 7, 14, 10, 2, 11, 19, 0, 9, 17, 6)","(9, 12, 12, 20, 14, 6, 3, 2, 4, 16, 11, 18, 3, 18, 1, 8, 11, 20, 5)"
12,2,"(1, 18, 6, 17)","(10, 5, 18, 14)"
12,3,"(10, 9, 15, 2, 13, 4, 11, 17, 1, 14, 7, 0)","(19, 4, 20, 9, 17, 7, 9, 14, 7, 6, 19, 2)"
12,4,"(0, 6, 8, 5, 14, 17, 19, 15, 13, 2, 4)","(4, 4, 10, 4, 10, 8, 8, 2, 18, 15, 13)"
12,5,"(19, 3, 6, 16, 9, 17, 18, 0, 2, 14, 1, 12, 10, 13, 11, 8, 15)","(18, 6, 2, 2, 13, 9, 6, 2, 8, 16, 18, 11, 8, 3, 18, 2, 7)"
12,6,"(10, 15)","(13, 2)"
13,0,"(3, 10, 11, 14, 5, 7, 4, 13, 12, 15, 2, 19, 17, 0, 18, 8, 6)","(2, 3, 7, 9, 13, 7, 14, 13, 19, 4, 13, 19, 11, 6, 9, 20, 2)"
13,1,"(1, 0, 8, 12, 11, 6, 4, 14, 5, 9, 10, 16, 15, 18, 13)","(3, 12, 16, 5, 20, 19, 20, 10, 16, 9, 12, 8, 14, 17, 20)"
13,2,"(8, 2, 1, 19, 7, 14, 12, 0, 15, 9, 10, 18, 13, 6, 4, 5, 17)","(8, 10, 10, 11, 14, 19, 12, 11, 16, 14, 8, 8, 2, 5, 16, 7, 4)"
13,3,"(5, 6, 15, 10, 3, 8)","(16, 5, 9, 8, 11, 20)"
13,4,"(17, 19, 6, 8, 3, 2, 14, 10, 18, 5)","(12, 17, 9, 15, 14, 13, 11, 20, 17, 18)"
13,5,"(17, 18, 13)","(4, 11, 5)"
13,6,"(2, 17, 18, 0, 10, 6, 8, 9, 3, 14, 4, 19, 12, 1, 16, 5, 7, 15)","(14, 10, 1, 10, 8, 13, 16, 6, 6, 8, 17, 11, 2, 3, 17, 20, 3, 9)"
13,7,"(19, 16, 10, 18, 12, 7, 1, 3, 15, 4, 6, 5, 2, 17, 11)","(13, 10, 1, 19, 10, 16, 5, 8, 17, 19, 1, 19, 20, 18, 8)"
13,8,"(4, 17, 8, 3, 7, 14, 18, 12, 5, 16, 1, 11, 0, 19, 15, 6)","(5, 16, 7, 17, 1, 19, 3, 16, 17, 10, 5, 3, 12, 19, 12, 18)"
14,0,"(13, 14, 8, 4, 10, 5, 1)","(19, 16, 13, 2, 13, 5, 3)"
14,1,"(1, 18, 17)","(12, 6, 15)"
14,2,"(19, 10, 5, 0, 16, 3, 18, 12, 17, 4, 13, 7, 15, 14, 8, 6, 11, 9, 1)","(12, 9, 14, 7, 3, 6, 1, 20, 14, 4, 19, 4, 3, 8, 7, 18, 12, 1, 19)"
14,3,"(16, 12, 4, 18, 6)","(2, 17, 8, 18, 8)"
14,4,"(11, 5, 16, 3, 9, 10)","(1, 1, 1, 11, 11, 15)"
14,5,"(2,)","(2,)"
14,6,"(18, 3, 0, 17, 13, 10, 5, 11, 12, 16, 19, 9, 7, 6, 4, 15, 14, 2)","(7, 18, 5, 11, 10, 11, 1, 10, 19, 18, 9, 10, 12, 2, 6, 7, 18, 6)"
14,7,"(11, 13, 18, 10, 17, 14, 0, 12, 5, 6, 15, 2, 9, 3)","(8, 16, 14, 3, 12, 18, 9, 10, 11, 14, 15, 8, 20, 3)"
14,8,"(11, 15, 12, 14, 18, 10, 9, 1, 2, 6, 0, 3, 19, 8)","(12, 9, 5, 9, 7, 3, 18, 13, 19, 15, 14, 1, 6, 7)"
