seq,compact_machine_id,compact_machine_label,type,op,start,end,duration,original_machine_id,original_machine_label,original_type,changeover_time_feature
37,6,M6,0,0,222.0,296.0,74.0,6,M6,0,2.0
38,6,M6,0,0,296.0,370.0,74.0,6,M6,0,2.0
39,6,M6,1,1,370.0,474.0,104.0,6,M6,1,0.0
40,6,M6,1,1,474.0,578.0,104.0,6,M6,1,0.0
41,6,M6,1,1,578.0,682.0,104.0,6,M6,1,0.0
42,7,M7,1,4,233.0,355.0,122.0,7,M7,1,0.0
43,7,M7,1,4,383.0,505.0,122.0,7,M7,1,16.0
44,7,M7,1,4,505.0,627.0,122.0,7,M7,1,16.0
45,7,M7,1,4,627.0,749.0,122.0,7,M7,1,16.0
46,7,M7,1,4,749.0,871.0,122.0,7,M7,1,16.0
47,8,M8,2,0,0.0,9.0,9.0,8,M8,2,0.0
48,8,M8,2,0,9.0,18.0,9.0,8,M8,2,4.0
49,8,M8,2,0,18.0,27.0,9.0,8,M8,2,4.0
50,8,M8,2,0,27.0,36.0,9.0,8,M8,2,4.0
51,8,M8,2,0,36.0,45.0,9.0,8,M8,2,4.0
52,8,M8,2,0,45.0,54.0,9.0,8,M8,2,4.0
53,8,M8,2,0,54.0,63.0,9.0,8,M8,2,4.0
54,8,M8,0,5,396.0,482.0,86.0,8,M8,0,4.0
55,8,M8,0,5,552.0,638.0,86.0,8,M8,0,39.0
56,8,M8,0,5,638.0,724.0,86.0,8,M8,0,39.0
57,8,M8,0,5,724.0,810.0,86.0,8,M8,0,39.0
58,8,M8,0,5,810.0,896.0,86.0,8,M8,0,39.0
59,9,M9,0,2,183.0,221.0,38.0,9,M9,0,0.0
60,9,M9,0,2,264.0,302.0,38.0,9,M9,0,10.0
61,9,M9,0,2,331.0,369.0,38.0,9,M9,0,10.0
62,9,M9,1,5,387.0,470.0,83.0,9,M9,1,8.0
63,9,M9,0,2,470.0,508.0,38.0,9,M9,0,9.0
64,9,M9,0,2,508.0,546.0,38.0,9,M9,0,10.0
65,9,M9,1,5,627.0,710.0,83.0,9,M9,1,8.0
66,9,M9,1,5,749.0,832.0,83.0,9,M9,1,10.0
67,9,M9,1,5,869.0,952.0,83.0,9,M9,1,10.0
68,9,M9,1,5,952.0,1035.0,83.0,9,M9,1,10.0
69,11,M11,2,3,35.0,43.0,8.0,11,M11,2,0.0
70,11,M11,2,3,61.0,69.0,8.0,11,M11,2,4.0
71,11,M11,0,1,74.0,183.0,109.0,11,M11,0,5.0
72,11,M11,2,3,183.0,191.0,8.0,11,M11,2,5.0
73,11,M11,2,3,191.0,199.0,8.0,11,M11,2,4.0
74,11,M11,2,3,199.0,207.0,8.0,11,M11,2,4.0
75,11,M11,0,1,222.0,331.0,109.0,11,M11,0,5.0
76,11,M11,2,3,331.0,339.0,8.0,11,M11,2,5.0
77,11,M11,2,3,339.0,347.0,8.0,11,M11,2,4.0
78,11,M11,0,1,370.0,479.0,109.0,11,M11,0,5.0
79,12,M12,2,1,9.0,24.0,15.0,12,M12,2,0.0
80,12,M12,2,2,24.0,35.0,11.0,12,M12,2,5.0
81,12,M12,2,1,35.0,50.0,15.0,12,M12,2,5.0
82,12,M12,2,2,50.0,61.0,11.0,12,M12,2,5.0
83,12,M12,2,1,61.0,76.0,15.0,12,M12,2,5.0
84,12,M12,2,2,76.0,87.0,11.0,12,M12,2,5.0
85,12,M12,2,1,87.0,102.0,15.0,12,M12,2,5.0
86,12,M12,2,2,102.0,113.0,11.0,12,M12,2,5.0
87,12,M12,2,1,113.0,128.0,15.0,12,M12,2,5.0
88,12,M12,2,2,128.0,139.0,11.0,12,M12,2,5.0
89,12,M12,2,1,139.0,154.0,15.0,12,M12,2,5.0
90,12,M12,0,1,154.0,264.0,110.0,12,M12,0,5.0
91,12,M12,2,1,264.0,279.0,15.0,12,M12,2,4.0
92,12,M12,2,2,279.0,290.0,11.0,12,M12,2,5.0
93,12,M12,2,2,290.0,301.0,11.0,12,M12,2,5.0
94,12,M12,0,1,301.0,411.0,110.0,12,M12,0,5.0
95,12,M12,0,6,482.0,573.0,91.0,12,M12,0,8.0
96,12,M12,0,6,638.0,729.0,91.0,12,M12,0,8.0
97,12,M12,0,6,729.0,820.0,91.0,12,M12,0,8.0
98,12,M12,0,6,820.0,911.0,91.0,12,M12,0,8.0
99,12,M12,0,6,911.0,1002.0,91.0,12,M12,0,8.0
100,13,M13,1,5,355.0,437.0,82.0,13,M13,1,0.0
101,13,M13,1,5,505.0,587.0,82.0,13,M13,1,7.0
102,13,M13,1,5,794.0,876.0,82.0,13,M13,1,7.0
103,13,M13,1,5,876.0,958.0,82.0,13,M13,1,7.0
104,15,M15,1,2,162.0,277.0,115.0,15,M15,1,0.0
105,15,M15,1,2,312.0,427.0,115.0,15,M15,1,6.0
106,15,M15,1,2,462.0,577.0,115.0,15,M15,1,6.0
107,15,M15,1,2,578.0,693.0,115.0,15,M15,1,6.0
108,15,M15,1,2,693.0,808.0,115.0,15,M15,1,6.0
109,15,M15,0,7,820.0,979.0,159.0,15,M15,0,5.0
110,15,M15,0,7,1002.0,1161.0,159.0,15,M15,0,6.0
111,16,M16,1,2,87.0,202.0,115.0,16,M16,1,0.0
112,16,M16,1,2,237.0,352.0,115.0,16,M16,1,7.0
113,16,M16,1,2,474.0,589.0,115.0,16,M16,1,7.0
114,16,M16,1,2,628.0,743.0,115.0,16,M16,1,7.0
115,17,M17,1,3,202.0,233.0,31.0,17,M17,1,0.0
116,17,M17,1,3,277.0,308.0,31.0,17,M17,1,39.0
117,17,M17,1,3,352.0,383.0,31.0,17,M17,1,39.0
118,17,M17,1,3,427.0,458.0,31.0,17,M17,1,39.0
119,17,M17,1,3,577.0,608.0,31.0,17,M17,1,39.0
120,17,M17,1,3,608.0,639.0,31.0,17,M17,1,39.0
121,17,M17,1,3,693.0,724.0,31.0,17,M17,1,39.0
122,17,M17,1,3,743.0,774.0,31.0,17,M17,1,39.0
123,17,M17,1,3,808.0,839.0,31.0,17,M17,1,39.0
124,19,M19,1,0,0.0,12.0,12.0,19,M19,1,0.0
125,19,M19,1,0,12.0,24.0,12.0,19,M19,1,8.0
126,19,M19,1,0,24.0,36.0,12.0,19,M19,1,8.0
127,19,M19,1,0,36.0,48.0,12.0,19,M19,1,8.0
128,19,M19,1,0,48.0,60.0,12.0,19,M19,1,8.0
129,19,M19,1,0,60.0,72.0,12.0,19,M19,1,8.0
130,19,M19,1,0,72.0,84.0,12.0,19,M19,1,8.0
131,19,M19,1,0,84.0,96.0,12.0,19,M19,1,8.0
132,19,M19,1,0,96.0,108.0,12.0,19,M19,1,8.0
133,19,M19,2,4,108.0,117.0,9.0,19,M19,2,7.0
134,19,M19,2,4,117.0,126.0,9.0,19,M19,2,8.0
135,19,M19,2,4,191.0,200.0,9.0,19,M19,2,8.0
136,19,M19,2,4,200.0,209.0,9.0,19,M19,2,8.0
137,19,M19,2,4,209.0,218.0,9.0,19,M19,2,8.0
138,19,M19,0,3,221.0,240.0,19.0,19,M19,0,7.0
139,19,M19,0,3,302.0,321.0,19.0,19,M19,0,13.0
140,19,M19,2,4,339.0,348.0,9.0,19,M19,2,7.0
141,19,M19,2,4,348.0,357.0,9.0,19,M19,2,8.0
142,19,M19,0,3,369.0,388.0,19.0,19,M19,0,7.0
143,19,M19,0,3,508.0,527.0,19.0,19,M19,0,13.0
144,19,M19,0,3,546.0,565.0,19.0,19,M19,0,13.0
145,20,M20,1,7,553.0,713.0,160.0,20,M20,1,0.0
146,20,M20,1,7,890.0,1050.0,160.0,20,M20,1,22.0
147,20,M20,1,7,1068.0,1228.0,160.0,20,M20,1,22.0
